Industry  IndustryDescription									    Commodity CommodityDescription									ProVal    IOYear
325188    All other basic inorganic chemical manufacturing                                          541511    Custom computer programming services                                                      16.90     2002      
325190    Other basic organic chemical manufacturing                                                211000    Oil and gas extraction                                                                    6.40      2002      
325190    Other basic organic chemical manufacturing                                                230101    Nonresidential commercial and health care structures                                      9.10      2002      
325190    Other basic organic chemical manufacturing                                                230102    Nonresidential manufacturing structures                                                   18.80     2002      
325190    Other basic organic chemical manufacturing                                                311119    Other animal food manufacturing                                                           185.80    2002      
325190    Other basic organic chemical manufacturing                                                311221    Wet corn milling                                                                          533.50    2002      
325190    Other basic organic chemical manufacturing                                                31122A    Soybean and other oilseed processing                                                      106.40    2002      
325190    Other basic organic chemical manufacturing                                                312140    Distilleries                                                                              326.60    2002      
325190    Other basic organic chemical manufacturing                                                324110    Petroleum refineries                                                                      312.90    2002      
325190    Other basic organic chemical manufacturing                                                324191    Petroleum lubricating oil and grease manufacturing                                        342.00    2002      
325190    Other basic organic chemical manufacturing                                                325110    Petrochemical manufacturing                                                               2846.20   2002      
325190    Other basic organic chemical manufacturing                                                325120    Industrial gas manufacturing                                                              25.50     2002      
325190    Other basic organic chemical manufacturing                                                325130    Synthetic dye and pigment manufacturing                                                   300.20    2002      
325190    Other basic organic chemical manufacturing                                                325181    Alkalies and chlorine manufacturing                                                       481.10    2002      
325190    Other basic organic chemical manufacturing                                                325188    All other basic inorganic chemical manufacturing                                          686.90    2002      
325190    Other basic organic chemical manufacturing                                                325190    Other basic organic chemical manufacturing                                                43449.30  2002      
325190    Other basic organic chemical manufacturing                                                325211    Plastics material and resin manufacturing                                                 2116.70   2002      
325190    Other basic organic chemical manufacturing                                                325212    Synthetic rubber manufacturing                                                            464.00    2002      
325190    Other basic organic chemical manufacturing                                                325220    Artificial and synthetic fibers and filaments manufacturing                               735.00    2002      
325190    Other basic organic chemical manufacturing                                                325310    Fertilizer manufacturing                                                                  122.80    2002      
325190    Other basic organic chemical manufacturing                                                325320    Pesticide and other agricultural chemical manufacturing                                   319.80    2002      
325190    Other basic organic chemical manufacturing                                                325411    Medicinal and botanical manufacturing                                                     221.90    2002      
325190    Other basic organic chemical manufacturing                                                325412    Pharmaceutical preparation manufacturing                                                  140.90    2002      
325190    Other basic organic chemical manufacturing                                                325413    In-vitro diagnostic substance manufacturing                                               14.50     2002      
325190    Other basic organic chemical manufacturing                                                325520    Adhesive manufacturing                                                                    63.50     2002      
325190    Other basic organic chemical manufacturing                                                325610    Soap and cleaning compound manufacturing                                                  830.20    2002      
325190    Other basic organic chemical manufacturing                                                3259A0    All other chemical product and preparation manufacturing                                  91.80     2002      
325190    Other basic organic chemical manufacturing                                                32619A    Other plastics product manufacturing                                                      152.20    2002      
325190    Other basic organic chemical manufacturing                                                33329A    Other industrial machinery manufacturing                                                  70.80     2002      
325190    Other basic organic chemical manufacturing                                                420000    Wholesale trade                                                                           306.60    2002      
325190    Other basic organic chemical manufacturing                                                541511    Custom computer programming services                                                      20.50     2002      
325211    Plastics material and resin manufacturing                                                 230101    Nonresidential commercial and health care structures                                      4.60      2002      
325211    Plastics material and resin manufacturing                                                 230102    Nonresidential manufacturing structures                                                   8.10      2002      
325211    Plastics material and resin manufacturing                                                 324110    Petroleum refineries                                                                      345.30    2002      
325211    Plastics material and resin manufacturing                                                 324199    All other petroleum and coal products manufacturing                                       59.20     2002      
325211    Plastics material and resin manufacturing                                                 325110    Petrochemical manufacturing                                                               2587.50   2002      
325211    Plastics material and resin manufacturing                                                 325120    Industrial gas manufacturing                                                              69.40     2002      
325211    Plastics material and resin manufacturing                                                 325130    Synthetic dye and pigment manufacturing                                                   71.90     2002      
325211    Plastics material and resin manufacturing                                                 325181    Alkalies and chlorine manufacturing                                                       286.80    2002      
325211    Plastics material and resin manufacturing                                                 325188    All other basic inorganic chemical manufacturing                                          62.00     2002      
325211    Plastics material and resin manufacturing                                                 325190    Other basic organic chemical manufacturing                                                6964.40   2002      
325211    Plastics material and resin manufacturing                                                 325211    Plastics material and resin manufacturing                                                 33080.30  2002      
325211    Plastics material and resin manufacturing                                                 325212    Synthetic rubber manufacturing                                                            143.70    2002      
325211    Plastics material and resin manufacturing                                                 325220    Artificial and synthetic fibers and filaments manufacturing                               256.50    2002      
325211    Plastics material and resin manufacturing                                                 325320    Pesticide and other agricultural chemical manufacturing                                   55.60     2002      
325211    Plastics material and resin manufacturing                                                 325510    Paint and coating manufacturing                                                           105.80    2002      
325211    Plastics material and resin manufacturing                                                 325520    Adhesive manufacturing                                                                    131.50    2002      
325211    Plastics material and resin manufacturing                                                 325610    Soap and cleaning compound manufacturing                                                  165.80    2002      
325211    Plastics material and resin manufacturing                                                 3259A0    All other chemical product and preparation manufacturing                                  358.40    2002      
325211    Plastics material and resin manufacturing                                                 326110    Plastics packaging materials and unlaminated film and sheet manufacturing                 1365.90   2002      
325211    Plastics material and resin manufacturing                                                 326121    Unlaminated plastics profile shape manufacturing                                          34.20     2002      
325211    Plastics material and resin manufacturing                                                 326140    Polystyrene foam product manufacturing                                                    238.30    2002      
325211    Plastics material and resin manufacturing                                                 326150    Urethane and other foam product (except polystyrene) manufacturing                        79.80     2002      
325211    Plastics material and resin manufacturing                                                 326160    Plastics bottle manufacturing                                                             47.10     2002      
325211    Plastics material and resin manufacturing                                                 32619A    Other plastics product manufacturing                                                      27.70     2002      
325211    Plastics material and resin manufacturing                                                 420000    Wholesale trade                                                                           72.10     2002      
325211    Plastics material and resin manufacturing                                                 541511    Custom computer programming services                                                      19.70     2002      
325212    Synthetic rubber manufacturing                                                            230102    Nonresidential manufacturing structures                                                   1.70      2002      
325212    Synthetic rubber manufacturing                                                            325120    Industrial gas manufacturing                                                              22.10     2002      
325212    Synthetic rubber manufacturing                                                            325188    All other basic inorganic chemical manufacturing                                          34.90     2002      
325212    Synthetic rubber manufacturing                                                            325190    Other basic organic chemical manufacturing                                                97.60     2002      
325212    Synthetic rubber manufacturing                                                            325211    Plastics material and resin manufacturing                                                 66.20     2002      
325212    Synthetic rubber manufacturing                                                            325212    Synthetic rubber manufacturing                                                            4693.50   2002      
325212    Synthetic rubber manufacturing                                                            325520    Adhesive manufacturing                                                                    83.20     2002      
325212    Synthetic rubber manufacturing                                                            325610    Soap and cleaning compound manufacturing                                                  29.60     2002      
325212    Synthetic rubber manufacturing                                                            3259A0    All other chemical product and preparation manufacturing                                  166.20    2002      
325212    Synthetic rubber manufacturing                                                            326110    Plastics packaging materials and unlaminated film and sheet manufacturing                 148.50    2002      
325212    Synthetic rubber manufacturing                                                            420000    Wholesale trade                                                                           2.80      2002      
325212    Synthetic rubber manufacturing                                                            541511    Custom computer programming services                                                      4.50      2002      
325220    Artificial and synthetic fibers and filaments manufacturing                               230102    Nonresidential manufacturing structures                                                   5.40      2002      
325220    Artificial and synthetic fibers and filaments manufacturing                               325190    Other basic organic chemical manufacturing                                                268.20    2002      
325220    Artificial and synthetic fibers and filaments manufacturing                               325211    Plastics material and resin manufacturing                                                 759.70    2002      
325220    Artificial and synthetic fibers and filaments manufacturing                               325220    Artificial and synthetic fibers and filaments manufacturing                               6610.00   2002      
325220    Artificial and synthetic fibers and filaments manufacturing                               420000    Wholesale trade                                                                           10.30     2002      
325220    Artificial and synthetic fibers and filaments manufacturing                               541511    Custom computer programming services                                                      12.20     2002      
325310    Fertilizer manufacturing                                                                  230102    Nonresidential manufacturing structures                                                   4.30      2002      
325310    Fertilizer manufacturing                                                                  311119    Other animal food manufacturing                                                           46.50     2002      
325310    Fertilizer manufacturing                                                                  325120    Industrial gas manufacturing                                                              1.30      2002      
325310    Fertilizer manufacturing                                                                  325188    All other basic inorganic chemical manufacturing                                          216.60    2002      
325310    Fertilizer manufacturing                                                                  325190    Other basic organic chemical manufacturing                                                8.90      2002      
325310    Fertilizer manufacturing                                                                  325310    Fertilizer manufacturing                                                                  9638.60   2002      
325310    Fertilizer manufacturing                                                                  420000    Wholesale trade                                                                           31.20     2002      
325310    Fertilizer manufacturing                                                                  541511    Custom computer programming services                                                      9.20      2002      
325320    Pesticide and other agricultural chemical manufacturing                                   230102    Nonresidential manufacturing structures                                                   2.80      2002      
325320    Pesticide and other agricultural chemical manufacturing                                   324191    Petroleum lubricating oil and grease manufacturing                                        57.80     2002      
325320    Pesticide and other agricultural chemical manufacturing                                   325190    Other basic organic chemical manufacturing                                                56.30     2002      
325320    Pesticide and other agricultural chemical manufacturing                                   325310    Fertilizer manufacturing                                                                  28.80     2002      
325320    Pesticide and other agricultural chemical manufacturing                                   325320    Pesticide and other agricultural chemical manufacturing                                   8555.80   2002      
325320    Pesticide and other agricultural chemical manufacturing                                   3259A0    All other chemical product and preparation manufacturing                                  50.00     2002      
325320    Pesticide and other agricultural chemical manufacturing                                   420000    Wholesale trade                                                                           225.90    2002      
325320    Pesticide and other agricultural chemical manufacturing                                   541511    Custom computer programming services                                                      6.90      2002      
325411    Medicinal and botanical manufacturing                                                     325188    All other basic inorganic chemical manufacturing                                          33.60     2002      
325411    Medicinal and botanical manufacturing                                                     325190    Other basic organic chemical manufacturing                                                93.20     2002      
325411    Medicinal and botanical manufacturing                                                     325211    Plastics material and resin manufacturing                                                 47.30     2002      
325411    Medicinal and botanical manufacturing                                                     325320    Pesticide and other agricultural chemical manufacturing                                   32.80     2002      
325411    Medicinal and botanical manufacturing                                                     325411    Medicinal and botanical manufacturing                                                     11571.40  2002      
325411    Medicinal and botanical manufacturing                                                     325412    Pharmaceutical preparation manufacturing                                                  104.60    2002      
325411    Medicinal and botanical manufacturing                                                     325610    Soap and cleaning compound manufacturing                                                  78.20     2002      
325411    Medicinal and botanical manufacturing                                                     325620    Toilet preparation manufacturing                                                          68.60     2002      
325411    Medicinal and botanical manufacturing                                                     326110    Plastics packaging materials and unlaminated film and sheet manufacturing                 28.60     2002      
325411    Medicinal and botanical manufacturing                                                     339114    Dental equipment and supplies manufacturing                                               29.70     2002      
325411    Medicinal and botanical manufacturing                                                     339116    Dental laboratories                                                                       18.10     2002      
325411    Medicinal and botanical manufacturing                                                     420000    Wholesale trade                                                                           68.30     2002      
325411    Medicinal and botanical manufacturing                                                     541511    Custom computer programming services                                                      30.40     2002      
325412    Pharmaceutical preparation manufacturing                                                  311119    Other animal food manufacturing                                                           28.70     2002      
325412    Pharmaceutical preparation manufacturing                                                  311940    Seasoning and dressing manufacturing                                                      18.00     2002      
325412    Pharmaceutical preparation manufacturing                                                  325188    All other basic inorganic chemical manufacturing                                          12.10     2002      
325412    Pharmaceutical preparation manufacturing                                                  325190    Other basic organic chemical manufacturing                                                12.00     2002      
325412    Pharmaceutical preparation manufacturing                                                  325320    Pesticide and other agricultural chemical manufacturing                                   12.80     2002      
325412    Pharmaceutical preparation manufacturing                                                  325411    Medicinal and botanical manufacturing                                                     899.90    2002      
325412    Pharmaceutical preparation manufacturing                                                  325412    Pharmaceutical preparation manufacturing                                                  102589.00 2002      
325412    Pharmaceutical preparation manufacturing                                                  325413    In-vitro diagnostic substance manufacturing                                               3453.20   2002      
325412    Pharmaceutical preparation manufacturing                                                  325414    Biological product (except diagnostic) manufacturing                                      1305.40   2002      
325412    Pharmaceutical preparation manufacturing                                                  325520    Adhesive manufacturing                                                                    14.40     2002      
325412    Pharmaceutical preparation manufacturing                                                  325610    Soap and cleaning compound manufacturing                                                  37.30     2002      
325412    Pharmaceutical preparation manufacturing                                                  325620    Toilet preparation manufacturing                                                          209.30    2002      
325412    Pharmaceutical preparation manufacturing                                                  334510    Electromedical and electrotherapeutic apparatus manufacturing                             9.00      2002      
325412    Pharmaceutical preparation manufacturing                                                  339112    Surgical and medical instrument manufacturing                                             11.90     2002      
325412    Pharmaceutical preparation manufacturing                                                  339113    Surgical appliance and supplies manufacturing                                             23.90     2002      
325412    Pharmaceutical preparation manufacturing                                                  420000    Wholesale trade                                                                           1443.10   2002      
325412    Pharmaceutical preparation manufacturing                                                  541511    Custom computer programming services                                                      296.20    2002      
325413    In-vitro diagnostic substance manufacturing                                               325413    In-vitro diagnostic substance manufacturing                                               5686.60   2002      
325413    In-vitro diagnostic substance manufacturing                                               32619A    Other plastics product manufacturing                                                      175.40    2002      
325413    In-vitro diagnostic substance manufacturing                                               33299B    Arms, ordnance, and accessories manufacturing                                             104.20    2002      
325413    In-vitro diagnostic substance manufacturing                                               334510    Electromedical and electrotherapeutic apparatus manufacturing                             125.20    2002      
325413    In-vitro diagnostic substance manufacturing                                               334516    Analytical laboratory instrument manufacturing                                            602.10    2002      
325413    In-vitro diagnostic substance manufacturing                                               420000    Wholesale trade                                                                           847.70    2002      
325413    In-vitro diagnostic substance manufacturing                                               541511    Custom computer programming services                                                      17.50     2002      
325414    Biological product (except diagnostic) manufacturing                                      311940    Seasoning and dressing manufacturing                                                      26.60     2002      
325414    Biological product (except diagnostic) manufacturing                                      325190    Other basic organic chemical manufacturing                                                3.30      2002      
325414    Biological product (except diagnostic) manufacturing                                      325411    Medicinal and botanical manufacturing                                                     9.90      2002      
325414    Biological product (except diagnostic) manufacturing                                      325412    Pharmaceutical preparation manufacturing                                                  365.70    2002      
325414    Biological product (except diagnostic) manufacturing                                      325413    In-vitro diagnostic substance manufacturing                                               2.70      2002      
325414    Biological product (except diagnostic) manufacturing                                      325414    Biological product (except diagnostic) manufacturing                                      7557.80   2002      
325414    Biological product (except diagnostic) manufacturing                                      420000    Wholesale trade                                                                           239.20    2002      
325414    Biological product (except diagnostic) manufacturing                                      541511    Custom computer programming services                                                      32.90     2002      
325510    Paint and coating manufacturing                                                           230102    Nonresidential manufacturing structures                                                   1.00      2002      
325510    Paint and coating manufacturing                                                           324191    Petroleum lubricating oil and grease manufacturing                                        9.70      2002      
325510    Paint and coating manufacturing                                                           325130    Synthetic dye and pigment manufacturing                                                   32.50     2002      
325510    Paint and coating manufacturing                                                           325211    Plastics material and resin manufacturing                                                 68.80     2002      
325510    Paint and coating manufacturing                                                           325510    Paint and coating manufacturing                                                           18857.40  2002      
325510    Paint and coating manufacturing                                                           325520    Adhesive manufacturing                                                                    94.30     2002      
325510    Paint and coating manufacturing                                                           325610    Soap and cleaning compound manufacturing                                                  13.90     2002      
325510    Paint and coating manufacturing                                                           325910    Printing ink manufacturing                                                                37.20     2002      
325510    Paint and coating manufacturing                                                           3259A0    All other chemical product and preparation manufacturing                                  7.70      2002      
325510    Paint and coating manufacturing                                                           339930    Doll, toy, and game manufacturing                                                         23.90     2002      
325510    Paint and coating manufacturing                                                           339994    Broom, brush, and mop manufacturing                                                       47.90     2002      
325510    Paint and coating manufacturing                                                           420000    Wholesale trade                                                                           209.00    2002      
325510    Paint and coating manufacturing                                                           541511    Custom computer programming services                                                      18.20     2002      
325520    Adhesive manufacturing                                                                    230102    Nonresidential manufacturing structures                                                   1.20      2002      
325520    Adhesive manufacturing                                                                    324191    Petroleum lubricating oil and grease manufacturing                                        46.60     2002      
325520    Adhesive manufacturing                                                                    325188    All other basic inorganic chemical manufacturing                                          42.40     2002      
325520    Adhesive manufacturing                                                                    325190    Other basic organic chemical manufacturing                                                43.10     2002      
325520    Adhesive manufacturing                                                                    325211    Plastics material and resin manufacturing                                                 82.90     2002      
325520    Adhesive manufacturing                                                                    325212    Synthetic rubber manufacturing                                                            86.10     2002      
325520    Adhesive manufacturing                                                                    325510    Paint and coating manufacturing                                                           87.90     2002      
325520    Adhesive manufacturing                                                                    325520    Adhesive manufacturing                                                                    6482.50   2002      
325520    Adhesive manufacturing                                                                    325610    Soap and cleaning compound manufacturing                                                  49.40     2002      
325520    Adhesive manufacturing                                                                    3259A0    All other chemical product and preparation manufacturing                                  88.30     2002      
325520    Adhesive manufacturing                                                                    326110    Plastics packaging materials and unlaminated film and sheet manufacturing                 36.10     2002      
325520    Adhesive manufacturing                                                                    326150    Urethane and other foam product (except polystyrene) manufacturing                        59.40     2002      
325520    Adhesive manufacturing                                                                    326290    Other rubber product manufacturing                                                        42.70     2002      
325520    Adhesive manufacturing                                                                    33221B    Handtool manufacturing                                                                    15.60     2002      
325520    Adhesive manufacturing                                                                    420000    Wholesale trade                                                                           80.40     2002      
325520    Adhesive manufacturing                                                                    541511    Custom computer programming services                                                      9.20      2002      
325610    Soap and cleaning compound manufacturing                                                  230102    Nonresidential manufacturing structures                                                   2.00      2002      
325610    Soap and cleaning compound manufacturing                                                  324110    Petroleum refineries                                                                      48.00     2002      
325610    Soap and cleaning compound manufacturing                                                  324191    Petroleum lubricating oil and grease manufacturing                                        40.80     2002      
325610    Soap and cleaning compound manufacturing                                                  325181    Alkalies and chlorine manufacturing                                                       79.70     2002      
325610    Soap and cleaning compound manufacturing                                                  325188    All other basic inorganic chemical manufacturing                                          56.90     2002      
325610    Soap and cleaning compound manufacturing                                                  325190    Other basic organic chemical manufacturing                                                522.50    2002      
325610    Soap and cleaning compound manufacturing                                                  325211    Plastics material and resin manufacturing                                                 80.00     2002      
325610    Soap and cleaning compound manufacturing                                                  325320    Pesticide and other agricultural chemical manufacturing                                   507.10    2002      
325610    Soap and cleaning compound manufacturing                                                  325412    Pharmaceutical preparation manufacturing                                                  161.10    2002      
325610    Soap and cleaning compound manufacturing                                                  325510    Paint and coating manufacturing                                                           12.70     2002      
325610    Soap and cleaning compound manufacturing                                                  325520    Adhesive manufacturing                                                                    47.10     2002      
325610    Soap and cleaning compound manufacturing                                                  325610    Soap and cleaning compound manufacturing                                                  25692.90  2002      
325610    Soap and cleaning compound manufacturing                                                  325620    Toilet preparation manufacturing                                                          467.00    2002      
325610    Soap and cleaning compound manufacturing                                                  3259A0    All other chemical product and preparation manufacturing                                  231.00    2002      
325610    Soap and cleaning compound manufacturing                                                  33299C    Other fabricated metal manufacturing                                                      39.10     2002      
325610    Soap and cleaning compound manufacturing                                                  333314    Optical instrument and lens manufacturing                                                 30.20     2002      
325610    Soap and cleaning compound manufacturing                                                  333319    Other commercial and service industry machinery manufacturing                             48.30     2002      
325610    Soap and cleaning compound manufacturing                                                  33331A    Vending, commercial, industrial, and office machinery manufacturing                       41.10     2002      
325610    Soap and cleaning compound manufacturing                                                  339114    Dental equipment and supplies manufacturing                                               35.00     2002      
325610    Soap and cleaning compound manufacturing                                                  420000    Wholesale trade                                                                           1159.00   2002      
325610    Soap and cleaning compound manufacturing                                                  541511    Custom computer programming services                                                      20.80     2002      
325620    Toilet preparation manufacturing                                                          230102    Nonresidential manufacturing structures                                                   1.70      2002      
325620    Toilet preparation manufacturing                                                          311340    Nonchocolate confectionery manufacturing                                                  67.20     2002      
325620    Toilet preparation manufacturing                                                          311940    Seasoning and dressing manufacturing                                                      55.80     2002      
325620    Toilet preparation manufacturing                                                          311990    All other food manufacturing                                                              61.90     2002      
325620    Toilet preparation manufacturing                                                          322291    Sanitary paper product manufacturing                                                      126.30    2002      
325620    Toilet preparation manufacturing                                                          323110    Printing                                                                                  15.40     2002      
325620    Toilet preparation manufacturing                                                          324199    All other petroleum and coal products manufacturing                                       39.10     2002      
325620    Toilet preparation manufacturing                                                          325130    Synthetic dye and pigment manufacturing                                                   24.10     2002      
325620    Toilet preparation manufacturing                                                          325190    Other basic organic chemical manufacturing                                                74.70     2002      
325620    Toilet preparation manufacturing                                                          325320    Pesticide and other agricultural chemical manufacturing                                   36.70     2002      
325620    Toilet preparation manufacturing                                                          325412    Pharmaceutical preparation manufacturing                                                  1300.90   2002      
325620    Toilet preparation manufacturing                                                          325610    Soap and cleaning compound manufacturing                                                  1669.70   2002      
325620    Toilet preparation manufacturing                                                          325620    Toilet preparation manufacturing                                                          28485.20  2002      
325620    Toilet preparation manufacturing                                                          3259A0    All other chemical product and preparation manufacturing                                  35.80     2002      
325620    Toilet preparation manufacturing                                                          32619A    Other plastics product manufacturing                                                      39.20     2002      
325620    Toilet preparation manufacturing                                                          33221A    Cutlery, utensil, pot, and pan manufacturing                                              34.60     2002      
325620    Toilet preparation manufacturing                                                          333319    Other commercial and service industry machinery manufacturing                             216.90    2002      
325620    Toilet preparation manufacturing                                                          339113    Surgical appliance and supplies manufacturing                                             25.30     2002      
